name,time,time_field,price,category,zero_comp
미스사이공,5,short,10,Noodle,Y
스시랜드,5,short,15,Japanese,Y
린칭,10,short,8,Chinese,Y
나나스파게티,7.5,short,12,Italian,Y
덮밥장사장,5,short,20,Korean,Y
이삭토스트,10,short,8,Toast,N
가츠몽,5,short,10,Cutlet,Y
바르다김선생,7.5,short,15,Snackfood,Y
라흥방마라탕 ,5,short ,9.5,Malatang ,Y
오양민돈까스,7.5,short,8.8,Cutlet,Y
역전우동,10,short,9,Noodle,N
버거타임,5,short,9.9,Burger,Y
싸다김밥,20,long ,7.5,Snackfood,Y
롯데리아,25,long ,6.5,Fastfood,N
맘스터치,20,long ,7.5,Fastfood,Y
사이공본가,20,long ,11,Noodle,N
수라면가,30,long ,12,Noodle,Y